Date,St(J/m2),N2_max(1/s2),log10_Rib
2024-05-03 00:00:00,1.144144632077266,0.0038801086440623,3.744729854214344
2024-05-03 00:10:00,1.1731059523523943,0.0037114078334884,3.554355288389054
2024-05-03 00:20:00,1.1318559718001993,0.0035714649004251,4.587340916638398
2024-05-03 00:30:00,1.1660480381499922,0.0035121154292974,2.943299786764164
2024-05-03 00:40:00,1.1934050974235435,0.0031445454557714,3.6297539594559223
2024-05-03 00:50:00,1.171599513597008,0.0035203794985252,3.0852622033699904
2024-05-03 01:00:00,1.1461232094544804,0.003436994772575,2.777439271581007
2024-05-03 01:10:00,1.1729444021536115,0.0037525475382513,3.467998820458288
2024-05-03 01:20:00,1.1578126209543067,0.0036083531770288,3.03345814479857
2024-05-03 01:30:00,1.1513767455450434,0.0032667758098961,3.3001562640773576
2024-05-03 01:40:00,1.1347111997409598,0.0032602528729705,2.5137029331861367
2024-05-03 01:50:00,1.128691292798843,0.0034209193249989,3.6145919467720566
2024-05-03 02:00:00,1.1425404438655993,0.0029257109598773,3.508898710521912
2024-05-03 02:10:00,1.1387942760127947,0.0031769949346493,3.95132937339808
2024-05-03 02:20:00,1.1160586167124598,0.0033011759541329,
2024-05-03 02:30:00,1.08145375327321,0.0030550913572901,3.579506353639426
2024-05-03 02:40:00,1.0717856312297809,0.0030396732412171,
2024-05-03 02:50:00,1.061539781719692,0.0028486836979235,
2024-05-03 03:00:00,1.0728952636553388,0.0031083157672749,3.320591041233851
2024-05-03 03:10:00,1.0662488653940323,0.0033056482789115,3.926954840807856
2024-05-03 03:20:00,1.0731834911626388,0.0030136296114585,3.2462871670874507
2024-05-03 03:30:00,1.0432082674875145,0.0028026795035381,3.158855372936179
2024-05-03 03:40:00,1.050631268797552,0.00305166798078,3.460852166619871
2024-05-03 03:50:00,1.13854129697588,0.0026684873190544,
2024-05-03 04:00:00,1.062521365810327,0.0028642892675937,
2024-05-03 04:10:00,1.04007386846798,0.0029962959026319,
2024-05-03 04:20:00,1.1164462319359647,0.0025357859636778,
2024-05-03 04:30:00,1.068049407567656,0.0027237303303138,4.838326636545222
2024-05-03 04:40:00,1.0170530852144128,0.0024622587450095,3.59992701304446
2024-05-03 04:50:00,1.05903693563473,0.002728018462839,4.827198708344483
2024-05-03 05:00:00,1.023108664610776,0.0024722667773788,4.005314676963278
2024-05-03 05:10:00,1.0468592504196603,0.0027400481868693,4.82209384419657
2024-05-03 05:20:00,1.0189552899668766,0.0024333747029521,4.448573510953499
2024-05-03 05:30:00,0.9982368551117684,0.0024962025958189,
2024-05-03 05:40:00,0.9735690465904328,0.0024573912750851,3.832013781951765
2024-05-03 05:50:00,0.9760051461975946,0.0025182407773297,
2024-05-03 06:00:00,0.97218420643224,0.0024773680732713,3.76597886747338
2024-05-03 06:10:00,0.9460564851658934,0.0026031712531536,3.1574108570480948
2024-05-03 06:20:00,0.9408126588244335,0.0022306647710308,4.763195753502453
2024-05-03 06:30:00,0.937842780184258,0.0025246849962315,3.470981559050692
2024-05-03 06:40:00,0.9162136300709348,0.0021690654889431,4.751042985143372
2024-05-03 06:50:00,0.9189897626935118,0.0024748539217888,
2024-05-03 07:00:00,0.8914731425624112,0.0024722722566421,4.157181738364676
2024-05-03 07:10:00,0.8830040552023658,0.0025075255106307,3.2002276132884253
2024-05-03 07:20:00,0.8975815965060773,0.00230730585235,
2024-05-03 07:30:00,0.8894977672519918,0.0023649026026989,4.752026132805011
2024-05-03 07:40:00,0.8753674996892176,0.002703596360163,4.409800780111894
2024-05-03 07:50:00,0.8959801042941857,0.0024352151196308,3.547205704588063
2024-05-03 08:00:00,0.8401971126954673,0.0024132487901244,
2024-05-03 08:10:00,0.8245478442148966,0.0023950349928189,4.128373544883345
2024-05-03 08:20:00,0.8536109220559513,0.002301629828611,4.379501564777046
2024-05-03 08:30:00,0.8370557131804484,0.0023606343437324,3.1770929326652992
2024-05-03 08:40:00,0.824781509835376,0.0023366609876757,2.818704794707393
