Parameter,Baseline,Alternative_cases,Quantitative_effect,Impact_on_conclusions,Impact_scope
MLD temperature threshold,0.2 °C,0.1 and 0.3 °C,Spring mean MLD 0.519/0.601/0.665 m; summer median daily amplitude 1.078/1.056/1.050 m,"MLD magnitude shifts systematically, but spring remains shallow/persistent and summer retains ~1 m diel oscillation; seasonal regime interpretation is robust.",MLD only; St and N² remain discrete-observation calculations
Vertical interpolation,PCHIP,linear,"Annual profile-temperature MAE 0.025 °C; annual MLD MAE 0.024 m, maximum 0.120 m at 0.2 °C threshold",Small shifts in exact crossing depth do not alter the seasonal evolution; representative profiles preserve the same ordering and regime interpretation.,profile visualization and MLD only; St and N² excluded
