Method,Threshold_C,Spring_mean_MLD_m,Summer_mean_MLD_m,Autumn_mean_MLD_m,Winter_mean_MLD_m,Summer_daily_amplitude_median_m,Spring_bottom_reached_fraction_percent,Seasonal_regime_criterion_preserved,Baseline_0.2C_PCHIP_annual_MLD_MAE_linear_m,Baseline_0.2C_PCHIP_annual_MLD_max_difference_linear_m,Regime_preserved_flag
PCHIP,0.1,0.5189120582479099,0.85206252703244,1.4374948535811714,1.5159423550432751,1.0784192197679698,1.328502415458937,True,0.0238443470673269,0.1202742125266616,1
PCHIP,0.2,0.6007272458330852,0.968956239201206,1.5449751487398662,1.7803496987073106,1.0558352777522262,2.143719806763285,True,0.0238443470673269,0.1202742125266616,1
PCHIP,0.3,0.6647359998608021,1.065590781521642,1.6285438661585716,1.90772859790658,1.0495651607576666,2.8381642512077296,True,0.0238443470673269,0.1202742125266616,1
linear,0.1,0.4900312640598944,0.8254960467855622,1.4291233514842965,1.527934622180733,0.9935165381431834,1.328502415458937,True,0.0238443470673269,0.1202742125266616,1
linear,0.2,0.5742387022191873,0.9459513770262225,1.541106757756825,1.7879412232308316,0.963003823181735,2.143719806763285,True,0.0238443470673269,0.1202742125266616,1
linear,0.3,0.6408308798947063,1.0456062103828785,1.6281109194928751,1.913349242872452,0.9607249644833802,2.8381642512077296,True,0.0238443470673269,0.1202742125266616,1
