Threshold_C,Period,Mean_signed_difference_m,Mean_absolute_difference_m,Maximum_absolute_difference_m,Fraction_abs_difference_gt_0.05m_percent
0.1,Annual,0.01303732139157686,0.026539990730789092,0.12039164631550614,24.176533090467515
0.1,Spring,0.02888079418801543,0.03514947219729667,0.11268785815013693,31.78592995169082
0.1,Summer,0.026566480246877775,0.03613117072665957,0.10721643052227575,35.76388888888889
0.1,Autumn,0.008371502096874999,0.01861102434837354,0.11933194898383936,13.896520146520148
0.1,Winter,-0.011992267137457905,0.01606828838200925,0.12039164631550614,15.048840048840049
0.2,Annual,0.011515268252440996,0.02384434706732693,0.1202742125266616,20.493700667880997
0.2,Spring,0.026488543613897936,0.03544911064924204,0.10372800800895554,33.89190821256038
0.2,Summer,0.023004862174983685,0.035359726328904564,0.09713284941057188,32.125603864734295
0.2,Autumn,0.003868390983041056,0.014365285487947434,0.1202742125266616,7.7686202686202686
0.2,Winter,-0.007591524523521322,0.00994919829943903,0.11429343708817741,7.913614163614163
0.3,Annual,0.009742543815112295,0.02164988596815626,0.12306521051370423,17.323163327261685
0.3,Spring,0.02390511996609581,0.034197054726031566,0.09625843121662103,31.4387077294686
0.3,Summer,0.019984571138763944,0.03319916616642065,0.09873057895444459,28.026871980676326
0.3,Autumn,0.0004329466656962376,0.01146568750933136,0.12108785190894356,4.052197802197802
0.3,Winter,-0.005620644965872032,0.00747283932846632,0.12306521051370423,5.502136752136752
