Season,n_days,Daily_Qnet_mean_W_m2,Daytime_heat_mean_MJ_m2,Daily_max_St_median_J_m2,Daily_max_St_max_J_m2,Daily_max_DeltaT_median_C,Daily_max_DeltaT_max_C
Spring,92,89.62599285623425,9.55169854502649,3.712807276374315,9.646723037168496,5.2773070805,9.155807120000002
Summer,92,91.4037267450599,9.709321890773118,3.50834501746985,7.216068628882517,3.2549427150000003,6.317669299999999
Autumn,91,33.52351228856091,6.154446505347615,1.3359209486920356,5.759991903295276,1.3541852299999988,4.454171410000001
Winter,91,-5.3800420841275525,3.096728325479205,0.0496545960271808,1.1303150569186238,0.3038445269999998,3.7249670350000006
