Ensemble,Metric,Mean,Std,P2_5,P50,P97_5,Minimum,Maximum,Probability_gt_zero_percent,Probability_abs_le_5_W_m2_percent
independent_uniform_LHS,"Annual mean Qnet (valid timestamps), W m-2",48.56170786507437,7.476473036979841,33.702124400020026,48.76025643167175,62.48411228550781,23.442191568870236,70.71688584984035,100.0,0.0
independent_uniform_LHS,"Annual continuous Qnet, W m-2",48.65477164312068,7.475681715969154,33.79856845304475,48.85203404688846,62.57557893816603,23.536998086210485,70.8110266229816,100.0,0.0
independent_uniform_LHS,"Annual continuous residual, W m-2",48.80509774058638,7.475681715969154,33.94889455051045,49.00236014435416,62.72590503563173,23.687324183676186,70.96135272044731,100.0,0.0
linked_rank_stress,"Annual mean Qnet (valid timestamps), W m-2",48.65173074309621,8.07098785383715,32.744186054250086,48.86893653488462,63.72558144432678,22.4480253584487,72.03097715903439,100.0,0.0
linked_rank_stress,"Annual continuous Qnet, W m-2",48.74494643515434,8.070137126358304,32.83892715322693,48.96102510725484,63.81660726321167,22.545378585684507,72.12322687890038,100.0,0.0
linked_rank_stress,"Annual continuous residual, W m-2",48.89527253262005,8.070137126358304,32.989253250692634,49.11135120472055,63.96693336067737,22.695704683150208,72.27355297636609,100.0,0.0
parameter_box_corners,"Annual mean Qnet (valid timestamps), W m-2",47.04062579773537,12.76763636362479,22.935711166610748,47.075570023197486,71.49235718645792,20.336292570471723,73.7911740309384,100.0,0.0
parameter_box_corners,"Annual continuous Qnet, W m-2",47.13491703174475,12.766567358384936,23.031389759093518,47.17038370227078,71.58756474131036,20.43359793690912,73.88368056879163,100.0,0.0
parameter_box_corners,"Annual continuous residual, W m-2",47.28524312921046,12.766567358384936,23.18171585655922,47.32070979973649,71.73789083877607,20.58392403437482,74.03400666625734,100.0,0.0
