albedo,emissivity,CE,CH,rso_scale,cloud_scale,wind_exponent,Annual_Qnet_valid_W_m2,Annual_Qnet_continuous_W_m2,Annual_residual_continuous_W_m2
0.09029039885935489,0.9699069816781797,0.001155435395907251,0.0012445256149519884,0.9954058117680128,1.0812650735397948,0.13163933245435158,56.89854452565965,56.98786742088843,57.13819351835413
0.059148431060506615,0.9895620081692884,0.0015494002238280217,0.0012455047463862047,1.0447740379870705,0.8701941032599411,0.12918393475631887,34.15950402287448,34.25616164541782,34.40648774288352
0.0919124694890874,0.9810822697479347,0.001466427850790621,0.0014173721810809832,1.0287378348632852,0.8339500407539774,0.13679164628885712,32.86723991742051,32.96261943135332,33.11294552881902
0.06849255271530642,0.9894026507921617,0.001077863597830842,0.001233996255291703,0.9519887701684461,1.1424735003370987,0.1529878346784321,53.137952226250576,53.22854699312881,53.37887309059451
0.05116094510055394,0.9716277935207649,0.0011915835986450927,0.0012500798164562237,1.0105221242702547,0.9621695512641206,0.13020390274253593,55.51292127071553,55.605244988935944,55.755571086401645
0.09990711360262937,0.9644092488565544,0.0012634746969206706,0.0013600072461866734,0.9663644688844828,0.8967284332704885,0.14948209465760817,45.70543142760378,45.797140845692944,45.947466943158645
0.070267516161184,0.9778040845537176,0.0014478394940694527,0.0012912792883187209,1.023671509312238,1.0550538754142167,0.15555261467240988,47.45200662235355,47.546527618437636,47.69685371590334
0.09560006488666613,0.9694627220647671,0.0010964625763890566,0.0010964819082355216,0.9506629446281188,1.0433675981062,0.12599574934047264,56.02578029463124,56.11262047753774,56.26294657500344
0.07260331539654885,0.9625073482807613,0.0011047171938556356,0.0013731504471723606,1.0098748285872774,0.8968250932807468,0.1568932843996566,54.020434761921344,54.11276451651493,54.26309061398063
0.06325789197703457,0.9768236957374483,0.001386092122972534,0.0014264894442016756,1.0377756064859112,1.0014830973743343,0.143567668126217,48.89049755043762,48.985160362921924,49.135486460387625
0.08248311321400002,0.9886221649399431,0.0014679665219484946,0.0013124066007497736,0.9667220628836473,1.183852902011601,0.15522207446093225,43.436009930875365,43.53084716211636,43.68117325958206
0.051461784018674045,0.9718427054161546,0.00111015794920254,0.001178139676507265,1.0396900287783508,0.8122812495165408,0.16195997210017357,48.15919338224424,48.25342581019688,48.40375190766258
0.05502964963376115,0.974014965249504,0.0012443880693763327,0.001349248657042047,0.9011628632217353,0.8698070848005045,0.15883086477806704,44.74116531814529,44.83583269806542,44.98615879553112
0.0735945094799654,0.9616530526973472,0.001329113464014143,0.0011906357325475242,0.903614648231204,0.8430511663118772,0.14742938728164573,45.00258530692905,45.09617867103822,45.24650476850392
0.0907034373716121,0.9858656109586833,0.001198077969606825,0.0013383274470898973,1.0453781019302877,0.8849519909249307,0.14897331364790672,39.76205468478439,39.85415533391234,40.00448143137804
0.0630799410804238,0.9855987562999254,0.0011690090070513898,0.0013464231250159108,1.0628490376123256,0.8707202263689582,0.14843853749240374,43.45967598787127,43.55358200946427,43.70390810692997
0.06723981255940967,0.984202765133915,0.001119081308285594,0.00108247170873476,0.9836036718922145,1.0813264002553873,0.15719174696916566,53.2928124478167,53.38305315926693,53.53337925673263
0.06896547291542453,0.966922154329713,0.001252122648138582,0.0012566169790640175,0.9180457183237173,0.8136640882522304,0.140617041770799,44.113330987026416,44.2070380101215,44.3573641075872
0.06651852693484615,0.9852375705959395,0.0013603468715199093,0.0013554923200543119,1.0784453455869325,0.8850932685363603,0.14388616767258733,39.84743343977006,39.94279241061115,40.09311850807685
0.09052104734375982,0.9773529822168889,0.0015205498441033221,0.0012220612979068704,0.9418088854134551,1.1260504348342435,0.13859935258599798,45.12844363726582,45.22120809511904,45.37153419258474
0.08130444331512314,0.9811562371030318,0.001189062736247512,0.0014559983224904376,0.9945574260974299,0.8725404207099718,0.1460623673371976,41.86092461382034,41.9540635389569,42.1043896364226
0.052759426957191366,0.9698111171208476,0.0014954992846004799,0.001152369722659394,1.059537720581431,1.0183534549506137,0.13445668923410767,52.322954384029146,52.4178288829565,52.5681549804222
0.05155532817299212,0.9873818888114814,0.001182882136060202,0.001516968888179139,0.9931281064396017,0.9573828376334088,0.14811916254161517,47.401456277194775,47.49568138538449,47.646007482850194
0.09735149370259748,0.9773828309975241,0.0013447310811032355,0.0015473981468114822,1.0687191593972438,0.8632985130596198,0.15075951400868326,37.90161559764258,37.99634828752129,38.146674384986994
0.050094785937980224,0.9825900192452012,0.0011896243078219882,0.0011221517871799823,0.9411849516547308,1.0216816931009371,0.13854456313900998,52.35162251313046,52.442664859168346,52.59299095663405
0.06528095170258384,0.9868846377699745,0.0010730579411311176,0.0012142002129242884,1.0332373909232377,1.0508041915967752,0.12796041112109452,54.44921261731927,54.5391955188418,54.6895216163075
0.07779888386618442,0.9898811761892372,0.0011988477176952176,0.0011681435903368351,0.9121269930294686,0.8438445567093399,0.1493555622805861,35.627919440632034,35.7199853828973,35.870311480363
0.08761463288379268,0.9723135485698043,0.0013676513225450069,0.0011624116983115292,0.9993278782802368,0.8109636701281513,0.15714029530910537,36.899994334025834,36.994107470996276,37.14443356846198
0.06379726963271116,0.9795998203800143,0.0012996445137535353,0.001128061224970828,0.9323852206893496,1.0436259954152078,0.15847867155716253,48.98606641050504,49.07784358935164,49.22816968681734
0.08164288128064909,0.9771486676017045,0.0010732635699948563,0.0010690869470177892,0.9737007216119365,1.1688792642499697,0.13054257841447967,58.95673328241037,59.04555038830188,59.195876485767585
0.0783759690106278,0.9676445884600725,0.0015394157118429315,0.0012633538067328815,1.0365825970277205,1.0684694888364619,0.13023234622782576,50.76898101851287,50.86300617065818,51.01333226812388
