Scope,N,Mean_W_m2,Median_W_m2,SD_W_m2,Minimum_W_m2,P05_W_m2,P25_W_m2,P75_W_m2,P95_W_m2,Maximum_W_m2,MAE_W_m2,RMSE_W_m2,Positive_fraction_percent
10-minute intervals,52703,52.717504735158,38.91007946035046,333.23813525168646,-3786.110618308534,-443.9024603561787,-92.16804997953523,193.32669484501014,584.4833031598879,4293.351171488912,224.6631579494485,337.3791384264051,58.20921010189173
Daily energy-weighted mean,366,52.71676229891689,54.18523073661926,44.82737171958717,-89.06314331555227,-18.97667004893727,20.987424722196273,86.51021365554865,123.53590680588636,183.46513449312525,57.71873794988119,69.15966934446882,86.6120218579235
Monthly energy-weighted mean,12,52.62284418611032,55.77791905972786,33.36588603288917,3.4805576506163938,3.996828005382395,31.96808038001682,83.5816304477464,88.96598832850863,91.32952084049494,52.62284418611032,61.560316371550705,100.0
