Date,St(J/m2),N2_max(1/s2),log10_Rib,St_24h,N2_max_24h,log10_Rib_med24h
2024-01-01 00:00:00,0.00470728694651495,2.4892901763397794e-05,1.3249109316454124,0.0007228698749432937,9.950445101096352e-06,0.5861843623950087
2024-01-01 01:00:00,-0.0060472285416416005,8.623494788316292e-07,,0.0011037540137573852,1.3156155126230057e-05,0.6530426541117589
2024-01-01 02:00:00,-0.00016205599990341664,5.500274604785323e-06,0.6530426541117589,0.0017627397122743813,1.722276674762974e-05,0.7598601102917057
2024-01-01 03:00:00,-0.00114812844127055,2.7566987550137537e-06,0.0727197143403156,0.0025150253255431937,2.3107947181488445e-05,0.8666775664716525
2024-01-01 04:00:00,-0.0004773558019309,6.594585624015101e-06,,0.003197432911835831,2.8427314620146163e-05,0.9097981556848691
2024-01-01 05:00:00,0.0009633614352277334,6.213292921017211e-06,-0.0693609603925719,0.004057034745421728,3.3868035653415016e-05,0.9529187448980858
2024-01-01 06:00:00,-0.00042827625437994224,2.8349304661782817e-06,-0.6575286277640049,0.004661541643543622,3.806702861315492e-05,1.0373487460085267
2024-01-01 07:00:00,0.0005750532237161167,6.071646152124143e-06,1.1217787471189673,0.005162626872742897,4.1945713819426595e-05,1.1217787471189673
2024-01-01 08:00:00,0.0010644202058084167,1.0188178028859964e-05,0.49679577333202407,0.005578095192807124,4.490387582706724e-05,1.1316755690827232
2024-01-01 09:00:00,0.0034659758040497,1.3492980017971748e-05,0.8666775664716525,0.005910250412126962,4.781548232851403e-05,1.1316755690827232
2024-01-01 10:00:00,0.0028002059253622834,1.3562747030373729e-05,0.5193260706782585,0.006228549381636806,5.0088525579531135e-05,1.1415723910464792
2024-01-01 11:00:00,0.003361179997766733,2.643475637058755e-05,0.9529187448980858,0.006481567351976183,5.2238370809968855e-05,1.1415723910464792
2024-01-01 12:00:00,0.005674363679526483,5.1624675427834524e-05,1.1415723910464792,0.006773243791780857,5.501622124989652e-05,1.2332416613459458
2024-01-01 13:00:00,0.010329553792995333,7.008871782582556e-05,1.7621564602253532,0.006848049133947434,5.6978173437720304e-05,1.3142222177612242
2024-01-01 14:00:00,0.013047023911306568,0.00010550047325551036,1.727328659824041,0.007085052960093462,5.814237088871361e-05,1.4868720444759693
2024-01-01 15:00:00,0.013433546706225383,0.00010821782620001195,1.4868720444759693,0.006929482991177866,5.823770146666294e-05,1.4868720444759693
2024-01-01 16:00:00,0.017810664082796083,0.00012091957218571667,2.515504699923644,0.0069028106102749,5.8266001468509593e-05,1.4868720444759693
2024-01-01 17:00:00,0.014938158911615818,0.00010944990892873333,2.087850225905154,0.006907061433854736,5.809203882212421e-05,1.5095638664183153
2024-01-01 18:00:00,0.01418216099832985,0.00011176204753231667,2.541163042469334,0.006844142389252613,5.793510972372757e-05,1.532255688360661
2024-01-01 19:00:00,0.013471993274027434,0.00010110895397223946,2.843045054495042,0.006888156964113986,5.800070981578149e-05,1.532255688360661
2024-01-01 20:00:00,0.012553354798523717,0.00010604761235745001,,0.006860014936819379,5.7914866770631596e-05,1.6297921740923509
2024-01-01 21:00:00,0.01291282774134355,9.782243385089014e-05,1.9166793494099568,0.0068142269409251005,5.7626187057939735e-05,1.6297921740923509
2024-01-01 22:00:00,0.012047962699442466,9.953496587959873e-05,,0.006734284168555441,5.744579245071407e-05,1.6297921740923509
2024-01-01 23:00:00,0.01348180190728835,0.00011890678136823288,1.9322493765163589,0.006746567141088375,5.736486191444019e-05,1.6297921740923509
